
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 10-Feb-2026 at 09:55:27.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        FAIRTEN4        FAIRTEN5        FAIRTEN6        ANCHTEN1        ANCHTEN2        ANCHTEN3        ANCHTEN4        ANCHTEN5        ANCHTEN6
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
    0.6700   1.3212100E+07   1.3238651E+07   1.3834845E+07   1.3841754E+07   1.3368739E+07   1.3335280E+07   1.3250130E+07   1.3279617E+07   1.3897826E+07   1.3903034E+07   1.3377682E+07   1.3342987E+07
    0.6800   1.3211551E+07   1.3238215E+07   1.3826509E+07   1.3832861E+07   1.3357829E+07   1.3324813E+07   1.3243079E+07   1.3272909E+07   1.3892955E+07   1.3897923E+07   1.3366466E+07   1.3331667E+07
    0.6900   1.3211719E+07   1.3238481E+07   1.3817739E+07   1.3823486E+07   1.3346701E+07   1.3314192E+07   1.3236324E+07   1.3266357E+07   1.3886904E+07   1.3891697E+07   1.3356614E+07   1.3321788E+07
    0.7000   1.3212574E+07   1.3239416E+07   1.3808540E+07   1.3813638E+07   1.3335415E+07   1.3303475E+07   1.3230183E+07   1.3260279E+07   1.3879569E+07   1.3884229E+07   1.3348026E+07   1.3313270E+07
    0.7100   1.3214078E+07   1.3240980E+07   1.3798916E+07   1.3803326E+07   1.3324035E+07   1.3292722E+07   1.3224969E+07   1.3254992E+07   1.3870887E+07   1.3875430E+07   1.3340540E+07   1.3305975E+07
    0.7200   1.3216193E+07   1.3243131E+07   1.3788871E+07   1.3792561E+07   1.3312623E+07   1.3281994E+07   1.3220975E+07   1.3250796E+07   1.3860835E+07   1.3865251E+07   1.3333951E+07   1.3299714E+07
    0.7300   1.3218872E+07   1.3245820E+07   1.3778416E+07   1.3781359E+07   1.3301245E+07   1.3271354E+07   1.3218460E+07   1.3247965E+07   1.3849433E+07   1.3853685E+07   1.3328017E+07   1.3294261E+07
    0.7400   1.3222066E+07   1.3248995E+07   1.3767564E+07   1.3769739E+07   1.3289959E+07   1.3260855E+07   1.3217638E+07   1.3246729E+07   1.3836743E+07   1.3840765E+07   1.3322476E+07   1.3289362E+07
    0.7500   1.3225715E+07   1.3252595E+07   1.3756343E+07   1.3757736E+07   1.3278823E+07   1.3250551E+07   1.3218670E+07   1.3247267E+07   1.3822858E+07   1.3826564E+07   1.3317060E+07   1.3284756E+07
    0.7600   1.3229751E+07   1.3256551E+07   1.3744783E+07   1.3745385E+07   1.3267882E+07   1.3240480E+07   1.3221653E+07   1.3249699E+07   1.3807907E+07   1.3811189E+07   1.3311510E+07   1.3280182E+07
    0.7700   1.3234096E+07   1.3260788E+07   1.3732939E+07   1.3732747E+07   1.3257174E+07   1.3230675E+07   1.3226617E+07   1.3254074E+07   1.3792042E+07   1.3794778E+07   1.3305588E+07   1.3275396E+07
    0.7800   1.3238666E+07   1.3265222E+07   1.3720868E+07   1.3719886E+07   1.3246722E+07   1.3221148E+07   1.3233522E+07   1.3260373E+07   1.3775438E+07   1.3777495E+07   1.3299091E+07   1.3270183E+07
    0.7900   1.3243370E+07   1.3269768E+07   1.3708648E+07   1.3706883E+07   1.3236532E+07   1.3211899E+07   1.3242254E+07   1.3268502E+07   1.3758285E+07   1.3759526E+07   1.3291859E+07   1.3264370E+07
    0.8000   1.3248119E+07   1.3274342E+07   1.3696362E+07   1.3693827E+07   1.3226601E+07   1.3202914E+07   1.3252630E+07   1.3278295E+07   1.3740784E+07   1.3741075E+07   1.3283783E+07   1.3257826E+07
    0.8100   1.3252825E+07   1.3278861E+07   1.3684105E+07   1.3680814E+07   1.3216898E+07   1.3194153E+07   1.3264398E+07   1.3289516E+07   1.3723143E+07   1.3722362E+07   1.3274811E+07   1.3250473E+07
